,O00482,O15528,O75469,O95718,P03372,P04150,P06401,P08235,P10275,P10276,P10826,P10827,P10828,P11473,P11474,P13631,P15121,P15514,P19793,P20393,P24468,P28702,P35398,P37231,P41235,P43354,P48443,P49116,P51449,P51843,P55055,P62508,Q03181,Q07869,Q13133,Q13285,Q14541,Q14994,Q92570,Q92731,Q92753,Q96RI1,Q9Y466,Q9Y5X4
O00482,2829,47,341.5,518,409.5,308,360,315.5,318,335.5,350.5,316,325.5,337,495.5,361.5,43,48.5,600,414,518.5,562.5,353.5,342,395.5,374.5,577,450.5,332,171,334,522,289,280,320,1455.5,401.5,304,329,383,370.5,303,455,430.5
O15528,,2668,41,44.5,47.5,48,46,46.5,46,48,41.5,50.5,45,41,62,41,42,33.5,50,56,37,38.5,39.5,43,53.5,45,39.5,36.5,49.5,65,44,42,35.5,54.5,45,57.5,40,37,56,38,44,40.5,39.5,41
O75469,,,2290,302,276,241.5,245.5,256.5,245,413,420,378,450,789,310.5,392,46,44,334.5,421.5,297,343,372,372,350.5,325.5,342,318.5,427.5,98.5,504.5,287.5,376,348,492.5,317,315.5,766,328,238.5,372,463.5,285.5,328
O95718,,,,2250,695,451,497,428,385.5,437,458.5,358,363,372,1242,504.5,46,38,566.5,378,504.5,565.5,327,317.5,474,506,559.5,358,287,130,340,1803,291,316.5,387,492.5,459.5,334,455,633,314,338.5,448,443.5
P03372,,,,,3141,462,507,479.5,474.5,389,410.5,267.5,269.5,338.5,652.5,431.5,43.5,35,481.5,294.5,394.5,510.5,333,296,365,438,464.5,313,259,82.5,334.5,704,241,265,338.5,413,381,291,452.5,1233.5,278.5,314,417.5,403.5
P04150,,,,,,4050,1127,1278.5,1042.5,299,293.5,236,221,215,441,299,40.5,62,338,281,298.5,340.5,218,210,301.5,343.5,331,261,194,80,282,488.5,208.5,250.5,303.5,302.5,286.5,275,318,438.5,207,288,305,323
P06401,,,,,,,4866,1198,1267.5,282.5,279,239,216,221.5,467,291,39,47,354,277,319.5,368.5,248.5,236.5,305.5,304,354,270,211,81,292.5,483.5,220,210,302,346,319,250,348,452,231,259,295,294.5
P08235,,,,,,,,5147,1079,306,297,291,292,261,438,334.5,41,63.5,325,330.5,315.5,332,296,229.5,330,352.5,322.5,279,257.5,84,325,459,224,243,328.5,349.5,290.5,273.5,374,447.5,279.5,321,305,348
P10275,,,,,,,,,4896,292,285.5,217.5,214,245,381,298.5,50,51,338,208.5,333.5,360.5,242,206,278,286.5,319,244.5,212.5,82,295.5,400,211,228,312.5,300,308.5,243.5,330.5,437.5,251,304,290,293
P10276,,,,,,,,,,2456,1896,589.5,634.5,433.5,436.5,1687.5,59.5,42.5,543.5,551.5,447,536,501.5,477,433,522.5,581,337.5,437.5,69.5,574.5,500.5,490,487,555.5,309.5,409.5,409,530.5,367,472,456,365,347.5
P10826,,,,,,,,,,,2420,597,633,435.5,422.5,1713.5,41,46,560,542,454,554,526.5,476.5,464.5,526,610.5,363.5,448.5,62.5,558,487.5,478.5,501,542,306.5,441,403,531,373,502,460,358,358.5
P10827,,,,,,,,,,,,2575,1488,390.5,377.5,586.5,51,38,425.5,407.5,342.5,389,454.5,363,377.5,395,384,333.5,382,92.5,452.5,356.5,382.5,347,486,328.5,371.5,414.5,372,308.5,395,446.5,260.5,334.5
P10828,,,,,,,,,,,,,2479,460,338.5,613,40,36,402.5,442,329,394,477,395,392,424.5,389.5,333,416.5,104,517,392.5,422,380,548,320.5,368,451.5,391,313.5,431,465,271.5,314
P11473,,,,,,,,,,,,,,2244,326,452,43.5,47,340,416.5,307.5,311,420,411,332,353,362.5,337,380.5,101,542.5,364,372.5,381,585.5,276,329.5,630,334.5,291.5,394,492,285,307.5
P11474,,,,,,,,,,,,,,,2176,462,41,38,546,371,502,554.5,296,281.5,432.5,460.5,520.5,317.5,290.5,133,383,1256,272,266.5,379.5,469,417,351,458,597,277,318.5,408.5,419
P13631,,,,,,,,,,,,,,,,2402,50.5,50,578,535.5,454,557.5,514.5,475.5,436.5,530.5,589.5,359,448.5,66.5,572,527,472.5,487,557,328.5,402,411,494.5,370.5,494.5,458,365,380
