,A5X5Y0,A8K7I4,A8MPY1,O00305,O00555,O00591,O14649,O14764,O15399,O15547,O15554,O43497,O43525,O43526,O60359,O60391,O60741,O60840,O75311,O75762,O94759,O95069,O95180,O95259,O95264,P02708,P04839,P07510,P11230,P13569,P14867,P16389,P17658,P17787,P18505,P18507,P21817,P22001,P22459,P22460,P23415,P23416,P24046,P28472,P28476,P29973,P30532,P30926,P31644,P32297,P34903,P35498,P35499,P36544,P37088,P39086,P42261,P42262,P42263,P43681,P46098,P47869,P47870,P48048,P48050,P48051,P48058,P48167,P48169,P48544,P48547,P48549,P51168,P51170,P51575,P51787,P51788,P51790,P54284,P54289,P56373,P56696,P57789,P62955,P63252,P78334,P78348,P78508,Q00975,Q01118,Q01668,Q02641,Q03721,Q04844,Q05586,Q05901,Q06432,Q07001,Q08289,Q09470,Q12791,Q12809,Q12879,Q13002,Q13003,Q13224,Q13507,Q13698,Q13936,Q14003,Q14524,Q14571,Q14573,Q14643,Q14654,Q14721,Q14722,Q14957,Q14CN2,Q15413,Q15822,Q15825,Q15858,Q16099,Q16322,Q16445,Q16478,Q16558,Q401N2,Q5JUK3,Q5XXA6,Q6PIU1,Q6UVM3,Q70Z44,Q7RTX7,Q7Z2W7,Q7Z3S7,Q7Z418,Q86XQ3,Q8IZS8,Q8N1C3,Q8NCM2,Q8NEC5,Q8NER1,Q8NET8,Q8TAE7,Q8TCU5,Q8TD43,Q8TDD5,Q8TDN1,Q8TDN2,Q8WXA8,Q8WXS5,Q92736,Q92806,Q92952,Q92953,Q93086,Q96D31,Q96KK3,Q96L42,Q96P56,Q96PR1,Q96QT4,Q96RD7,Q96RP8,Q99250,Q99571,Q99572,Q99928,Q9BQ31,Q9BXT2,Q9GZZ6,Q9H1D0,Q9H252,Q9H2S1,Q9H3M0,Q9HBA0,Q9NPC2,Q9NR82,Q9NS40,Q9NSA2,Q9NY46,Q9NY47,Q9NZQ8,Q9NZV8,Q9P0X4,Q9P1Z3,Q9UF02,Q9UGI6,Q9UGM1,Q9UHC3,Q9UI33,Q9UIX4,Q9UJ96,Q9UK17,Q9UL51,Q9UL62,Q9ULD8,Q9ULS6,Q9UN88,Q9UQ05,Q9UQC9,Q9UQD0,Q9Y210,Q9Y3Q4,Q9Y5S1,Q9Y5S8,Q9Y5Y9,Q9Y698,Q9Y6N3
A5X5Y0,1,0.014005462,0.073854256,0.013990168,0.011037109,0.08125712,0.024981976,0.080378259,0.01293205,0.015524739,0.019037864,0.011118266,0.01446158,0.011386468,0.017568842,0.022416372,0.012969933,0.012520839,0.064994908,0.013802953,0.011748579,0.019626577,0.01067203,0.013754757,0.235596436,0.141341432,0.01726809,0.130723388,0.164872081,0.012182515,0.060593778,0.013599606,0.01372731,0.172873031,0.071112823,0.073995045,0.006569091,0.015563648,0.013775,0.013994936,0.069237296,0.072115411,0.089494289,0.067720351,0.084089614,0.012430912,0.161507327,0.164517223,0.06000414,0.168917582,0.061765635,0.01336156,0.013436002,0.164740773,0.020231212,0.013190949,0.010495951,0.013825688,0.013249601,0.151772615,0.317414594,0.062805392,0.067187795,0.023372224,0.020248434,0.017141299,0.013355616,0.07620648,0.068093809,0.017303235,0.015160362,0.015750891,0.015536274,0.015845047,0.016968076,0.013698007,0.013626407,0.013797028,0.016822166,0.012670111,0.014915756,0.017601565,0.017229281,0.025996936,0.021488578,0.078225388,0.014539825,0.021958497,0.011677057,0.014309186,0.010030657,0.014589536,0.021013808,0.12348327,0.012688164,0.179287147,0.022491599,0.141262278,0.012214676,0.015075543,0.01277622,0.013305028,0.011112052,0.019673903,0.013320926,0.012051982,0.01721353,0.012050164,0.009375934,0.020246801,0.01191188,0.010728209,0.010216212,0.010634336,0.026113438,0.014186614,0.017060762,0.012556823,0.015721804,0.006949554,0.160131506,0.170246547,0.013740177,0.012242623,0.017596519,0.068813174,0.012996496,0.022857291,0.132036823,0.012539726,0.01437462,0.016249879,0.016347765,0.553855802,0.015899263,0.013322076,0.014468053,0.028434609,0.022742488,0.016034504,0.069978173,0.011626603,0.013778743,0.017374851,0.021924252,0.013856671,0.015513797,0.011202164,0.013541772,0.017044001,0.018028644,0.756804977,0.016802397,0.008083795,0.02020624,0.016036322,0.012824707,0.014847016,0.030030856,0.014777032,0.014001065,0.018715726,0.019394695,0.012943956,0.03377804,0.021006963,0.012184343,0.017736589,0.014260875,0.07840604,0.015617677,0.023389733,0.188018254,0.0166863,0.013335736,0.015905428,0.014018581,0.014876019,0.01934611,0.017516101,0.010437765,0.014911329,0.010901792,0.012235358,0.013289733,0.011727452,0.01116455,0.015844689,0.020636743,0.014493756,0.186791701,0.014475936,0.012293369,0.01714932,0.018687838,0.013930952,0.020587596,0.018654143,0.01575534,0.016535442,0.074754317,0.01475669,0.013020355,0.010824832,0.013907902,0.015510264,0.019447779,0.016090148,0.011477043,0.01494118,0.019157237
A8K7I4,0.014005462,1,0.017739727,0.015165921,0.007299343,0.016263001,0.012350229,0.011576701,0.007253423,0.017849616,0.014184167,0.006819413,0.016103351,0.009929763,0.016097858,0.008722645,0.012855363,0.006710142,0.012019505,0.008796341,0.010730069,0.011966668,0.006955453,0.013743602,0.011798337,0.014965294,0.01387723,0.012672113,0.012145145,0.009934158,0.014344895,0.011687234,0.010334009,0.015171617,0.014999831,0.015646078,0.007267483,0.011223583,0.010438168,0.012403051,0.014034525,0.014705089,0.01457387,0.015990214,0.01703808,0.012014226,0.013016313,0.011327954,0.017399858,0.013657177,0.018007243,0.006608696,0.00655537,0.015477202,0.011053733,0.015981055,0.011694102,0.01467236,0.014534959,0.01189279,0.011867582,0.015367152,0.013860534,0.016656376,0.01322767,0.014535333,0.010364013,0.010947116,0.020739415,0.013564396,0.015375116,0.01648225,0.010825987,0.011905782,0.013976948,0.010860201,0.008963956,0.010495415,0.014588333,0.012070938,0.015706742,0.011578962,0.01076099,0.016425907,0.015926542,0.010339202,0.013634087,0.019602273,0.006683598,0.006643852,0.007420737,0.012606766,0.01148132,0.016571654,0.01319969,0.021640895,0.014130646,0.012549083,0.011565045,0.011316686,0.008023271,0.009481919,0.011713639,0.019713374,0.015335249,0.009161523,0.010609592,0.006972864,0.006951797,0.0113854,0.007215721,0.00691156,0.006355147,0.008488069,0.013431508,0.011197305,0.013873125,0.007695887,0.602411759,0.006361199,0.016690386,0.011936142,0.006504196,0.012727928,0.016626439,0.020782272,0.009567384,0.02087797,0.011742548,0.008214378,0.010445037,0.01315326,0.010241031,0.011344757,0.013096546,0.008639603,0.013029048,0.01318776,0.012516753,0.011811204,0.012213165,0.010912976,0.009150003,0.01435471,0.011661741,0.012609681,0.010961518,0.008527615,0.011259076,0.013123831,0.012577748,0.016411521,0.016733378,0.006526101,0.01488012,0.015782069,0.015022586,0.012881008,0.021767537,0.01579643,0.011704909,0.010389515,0.01307464,0.010981666,0.012890249,0.013340278,0.007757991,0.019840159,0.01359316,0.012223007,0.017408531,0.014511708,0.01622798,0.008118308,0.009903964,0.013068718,0.011988525,0.010815669,0.015756729,0.011538879,0.009458891,0.011626817,0.009123508,0.013821513,0.009006754,0.011270163,0.007087297,0.010721532,0.018144897,0.013380847,0.013686414,0.013166953,0.007562875,0.011800147,0.011098347,0.012285886,0.012244168,0.009437728,0.009980579,0.012075062,0.010754881,0.009325914,0.410030698,0.007500102,0.007824917,0.010048633,0.010766957,0.011203151,0.006600753,0.015971902,0.290018887
A8MPY1,0.073854256,0.017739727,1,0.02037913,0.00834174,0.327045778,0.016338583,0.324557504,0.010836093,0.015232896,0.027538053,0.011691081,0.011385336,0.011919366,0.017221934,0.012171818,0.012749838,0.009064681,0.286152593,0.012538627,0.011570071,0.02146965,0.009796539,0.013678569,0.081052177,0.070279266,0.016441698,0.064125216,0.073308521,0.012115035,0.243302576,0.023667485,0.014804902,0.083115349,0.330021645,0.247642436,0.00709265,0.015661695,0.018553935,0.013025275,0.276652038,0.286449289,0.577886668,0.339363228,0.579218038,0.017611696,0.073469608,0.079629466,0.25700015,0.07898098,0.237118684,0.012494263,0.014492174,0.064791937,0.014251064,0.014866935,0.021022637,0.014795235,0.014656683,0.064460514,0.096332763,0.249621843,0.313955347,0.019666954,0.014472948,0.017262129,0.012691343,0.266237226,0.229252957,0.015916836,0.016236109,0.018241208,0.01871193,0.016956204,0.020599537,0.017538496,0.013402018,0.015878903,0.017333649,0.014987286,0.019039548,0.015484368,0.018288937,0.019722859,0.018164118,0.221288282,0.014269035,0.013791706,0.012526738,0.013906519,0.010545102,0.015596877,0.018981815,0.061200294,0.013198016,0.078391473,0.02383853,0.058760255,0.015097008,0.016391295,0.013586027,0.009858638,0.010244736,0.014857577,0.013392714,0.014039836,0.013262736,0.009422858,0.011678546,0.014786385,0.013524069,0.008961779,0.008782047,0.010913846,0.013548936,0.016990319,0.012833454,0.011363415,0.017534265,0.007671911,0.077066019,0.082300331,0.013763807,0.018763531,0.016515958,0.262461806,0.016333168,0.025291886,0.062047839,0.017508759,0.012052645,0.016957888,0.018223812,0.019325893,0.027310248,0.01444063,0.020012279,0.015260661,0.018585849,0.016615675,0.255435901,0.013818242,0.018996538,0.018501875,0.021328838,0.022259867,0.013449934,0.010633746,0.024314989,0.018897822,0.02019347,0.070576985,0.013495995,0.008541456,0.018754695,0.018035858,0.017298081,0.015406724,0.020164928,0.014695181,0.012584713,0.021550804,0.013726973,0.011952812,0.022538438,0.015512824,0.015593,0.016745264,0.016663712,0.246910521,0.018119697,0.020797333,0.076868243,0.011966736,0.012284678,0.017864275,0.017525742,0.017483369,0.016490529,0.011563926,0.01243031,0.014654278,0.016510766,0.015015319,0.013086551,0.015549991,0.01231561,0.011141259,0.02185506,0.013922106,0.083429843,0.013448664,0.015359961,0.015290088,0.016106415,0.018875786,0.010752301,0.013169664,0.010311465,0.025985345,0.232967676,0.013152079,0.010790195,0.010764873,0.016742626,0.009178126,0.016143353,0.015449264,0.013215598,0.028726279,0.021772713
O00305,0.013990168,0.015165921,0.02037913,1,0.011185829,0.015235929,0.015220656,0.014066397,0.010721182,0.013998858,0.01627923,0.014322948,0.02209716,0.013557208,0.026297169,0.011396413,0.014768046,0.013643653,0.01900357,0.013526756,0.01086474,0.014955666,0.009730842,0.016613362,0.016577949,0.015386245,0.015573193,0.019170596,0.016610308,0.009930356,0.017393984,0.014096794,0.014917063,0.013518589,0.015376836,0.012973205,0.007806538,0.019060184,0.016940878,0.016235704,0.014414106,0.017867579,0.022564729,0.015737558,0.015705197,0.012489414,0.018570018,0.01911497,0.02049688,0.019571013,0.021202662,0.010542572,0.009155475,0.013977242,0.013168179,0.017729989,0.016756434,0.014600587,0.013329438,0.011879803,0.01760275,0.018744538,0.015718633,0.015198344,0.01285794,0.019220771,0.013710849,0.014631555,0.017573876,0.01524545,0.013699916,0.016142403,0.012496523,0.013124021,0.018471228,0.020060591,0.014405639,0.016095084,0.609080078,0.014228072,0.018024391,0.023375298,0.02212736,0.021188477,0.016783894,0.016246705,0.01421384,0.018493943,0.012611403,0.011977611,0.011374212,0.569592309,0.016012751,0.01527526,0.011668903,0.017037723,0.020577888,0.016959054,0.557465736,0.024507154,0.013012956,0.011679243,0.018081651,0.015358068,0.015895313,0.013556953,0.022304635,0.010202619,0.00947196,0.011149346,0.012291748,0.009973515,0.010390815,0.009886246,0.015572915,0.01874376,0.028126055,0.009329225,0.012735946,0.007834141,0.011788685,0.014451952,0.010508377,0.016600154,0.01694925,0.014987536,0.017684771,0.020238651,0.015903965,0.012788804,0.015034377,0.012229714,0.01419013,0.014769183,0.019077841,0.01103983,0.01327989,0.024504891,0.016729479,0.014631358,0.011854126,0.017692186,0.019090096,0.01347416,0.015435372,0.01482312,0.016545305,0.01345902,0.011465531,0.016981064,0.020064745,0.015753389,0.020723792,0.008481948,0.014969671,0.016002188,0.021623209,0.013732073,0.023715091,0.018890568,0.021158404,0.019515857,0.016310124,0.01076367,0.020134724,0.014660366,0.009703171,0.017749753,0.014942046,0.012447137,0.015257488,0.016774806,0.021092817,0.021242847,0.011766499,0.029230854,0.017358757,0.020180962,0.017330563,0.01682453,0.0148518,0.018547766,0.010860441,0.013638065,0.011789921,0.018448346,0.010366293,0.016616756,0.018125083,0.018982564,0.015789583,0.014514239,0.009808043,0.01445738,0.014833684,0.013767026,0.012979258,0.018446507,0.017829039,0.015944682,0.017717554,0.015514585,0.013366671,0.013938675,0.015618066,0.01184341,0.012094362,0.016383057,0.008918244,0.020161544,0.022157715
O00555,0.011037109,0.007299343,0.00834174,0.011185829,1,0.010559574,0.012392116,0.008104162,0.016457029,0.009011875,0.011542437,0.126808046,0.014917102,0.021998134,0.013390817,0.009098324,0.015716919,0.298037185,0.007988875,0.009970187,0.012609557,0.012472652,0.123065872,0.011015508,0.010508862,0.010083453,0.007684126,0.009758094,0.00913481,0.010449653,0.008857214,0.02031638,0.018072706,0.008834234,0.009768742,0.012234108,0.00704972,0.020008042,0.017713054,0.018686076,0.00893649,0.008273455,0.012271944,0.012014679,0.009236841,0.015699501,0.00989801,0.010007256,0.008743199,0.010287753,0.008559495,0.125552787,0.13410725,0.009269663,0.008419348,0.006255838,0.009275402,0.008466908,0.008260533,0.014245747,0.012135227,0.008488897,0.010733126,0.011798418,0.009632875,0.009539066,0.007474039,0.007918874,0.009904587,0.009139543,0.023311662,0.011743812,0.006926027,0.00771875,0.007994895,0.015055201,0.012335286,0.009726685,0.011678567,0.006774165,0.009692205,0.018204151,0.018178238,0.010867409,0.008621592,0.009958037,0.010043907,0.012036239,0.574857212,0.108640324,0.294434964,0.012610098,0.022049436,0.008470608,0.006785127,0.01509186,0.011242132,0.009353173,0.017577126,0.0220494,0.008476813,0.013863309,0.007559036,0.006440076,0.007810071,0.008671504,0.015488693,0.303984364,0.294200478,0.019039148,0.125921488,0.00835226,0.008092896,0.009186982,0.00911058,0.019598113,0.008308943,0.015114049,0.006522347,0.006585637,0.009833726,0.010008373,0.12641167,0.010020632,0.017468639,0.009223313,0.008351364,0.011267621,0.009846046,0.008217664,0.008722001,0.018666959,0.009903788,0.008912455,0.036222637,0.011258721,0.006512194,0.010788143,0.044691148,0.005348641,0.012191257,0.010288211,0.043306579,0.012338219,0.012002478,0.02038194,0.010583415,0.010649453,0.017018874,0.013797112,0.021303314,0.009829249,0.014803162,0.006604248,0.014565941,0.011163439,0.024412479,0.009643426,0.01336576,0.018340783,0.012124453,0.03868057,0.020285272,0.01109351,0.013487228,0.022460239,0.1275854,0.008337085,0.00692388,0.010893822,0.017861588,0.011627691,0.008827641,0.011847447,0.015817917,0.012779044,0.021284199,0.012121749,0.013762406,0.015832262,0.011550313,0.021265114,0.123586758,0.007666902,0.00917597,0.020553273,0.130546077,0.016873199,0.011896953,0.01532522,0.008628545,0.010162371,0.122747263,0.016574706,0.016130206,0.020216766,0.016499975,0.015498732,0.018967401,0.019866328,0.009437331,0.013904357,0.007039424,0.125005633,0.01206,0.018109805,0.010633306,0.007420285,0.122467822,0.012223159,0.010162629
O00591,0.08125712,0.016263001,0.327045778,0.015235929,0.010559574,1,0.017170329,0.371270321,0.010740041,0.01408478,0.024088092,0.009113644,0.013511603,0.012665793,0.024322939,0.013469281,0.020748913,0.008777795,0.30937886,0.012862033,0.01564022,0.020683926,0.008933628,0.015934953,0.079650814,0.077854934,0.017234589,0.065874605,0.080698225,0.014975054,0.256297925,0.016494931,0.014551007,0.093075682,0.362149298,0.280414497,0.00683699,0.013753325,0.013302686,0.014058306,0.306254811,0.309856304,0.317918684,0.350768236,0.321912562,0.015624755,0.087802866,0.103241585,0.273472924,0.076176925,0.263602471,0.011822064,0.010335739,0.082903702,0.014947969,0.01571484,0.016460017,0.014408706,0.014120293,0.074613942,0.100496803,0.265475156,0.32811221,0.021778986,0.015221636,0.018566833,0.016216994,0.24701006,0.248649133,0.017838995,0.016431299,0.021994035,0.012457919,0.017578588,0.019765337,0.019594467,0.014357076,0.012785821,0.018387792,0.013474914,0.024558245,0.018670021,0.017962333,0.024315108,0.016615447,0.226783149,0.014003837,0.020493708,0.011754238,0.013634648,0.0106367,0.017485479,0.021303385,0.075433345,0.012178889,0.106786002,0.01769611,0.070397547,0.014211964,0.019272486,0.015649676,0.010892905,0.012530126,0.013420375,0.015695294,0.010886797,0.019505176,0.012317092,0.008396937,0.014350671,0.010131584,0.013095498,0.010175501,0.011226734,0.016153194,0.018243026,0.014657513,0.014240182,0.024388639,0.00742766,0.092261762,0.088774677,0.012097642,0.021679611,0.020383551,0.280530974,0.015460277,0.02323312,0.061607359,0.016714982,0.018887855,0.020269092,0.014135564,0.040283658,0.021500608,0.014833333,0.018034834,0.020241331,0.027393132,0.014169412,0.281007581,0.013156022,0.017595293,0.0207662,0.017689378,0.023076925,0.015037237,0.010892823,0.018614755,0.02140924,0.015456446,0.082664215,0.014657627,0.009636296,0.019906025,0.028735677,0.016109318,0.025067535,0.026991382,0.020646857,0.016100109,0.02112319,0.021976721,0.009743779,0.01729962,0.022729551,0.013694212,0.020137491,0.014886215,0.265867188,0.016101247,0.019858547,0.08916634,0.015218002,0.012156702,0.033567483,0.022298357,0.015801372,0.019707683,0.01699619,0.014347934,0.015734747,0.012270478,0.013285171,0.010880384,0.015937569,0.013154558,0.010890192,0.022104644,0.027507833,0.084616437,0.015513267,0.014082232,0.016867427,0.023976052,0.015080412,0.011757762,0.01835089,0.01027346,0.026518224,0.241880679,0.011194914,0.015213305,0.011780002,0.017055308,0.011629461,0.018558624,0.015253653,0.012351373,0.018484566,0.034422132
O14649,0.024981976,0.012350229,0.016338583,0.015220656,0.012392116,0.017170329,1,0.020427446,0.012636471,0.018016212,0.035540452,0.012393607,0.024419752,0.026894894,0.02239079,0.01466271,0.018003292,0.015256745,0.016782783,0.011551519,0.012037334,0.172245992,0.017564868,0.035020111,0.022168047,0.01559697,0.019386465,0.015731472,0.017678609,0.011724704,0.022576449,0.039165203,0.039124653,0.016298653,0.015562421,0.019019985,0.009188829,0.035074527,0.033956898,0.032989329,0.022101928,0.021768759,0.017182174,0.021082164,0.019283733,0.023157976,0.019424382,0.018158116,0.022285833,0.017625159,0.023126639,0.012584061,0.020352405,0.018944776,0.014306906,0.011640372,0.017048248,0.015695698,0.016034611,0.014715698,0.029827176,0.026420688,0.017098764,0.026405896,0.025700921,0.034937258,0.012270025,0.026261793,0.023797586,0.03412053,0.030661501,0.024294419,0.015024666,0.014802779,0.016542511,0.025707328,0.014010346,0.015010529,0.01455319,0.014800195,0.01986071,0.02946106,0.147219307,0.026533973,0.026885367,0.022396213,0.017691921,0.025398662,0.013304293,0.012265487,0.011848282,0.015277513,0.028196531,0.01439401,0.013645469,0.020591773,0.024147849,0.01447466,0.015567118,0.03717672,0.021331587,0.026679883,0.012341262,0.013679438,0.012581447,0.012612495,0.014678331,0.011653353,0.012261307,0.024953123,0.01436353,0.008030195,0.008100592,0.00833016,0.029398396,0.025889929,0.020703012,0.01461753,0.011829347,0.007491429,0.016572241,0.018650663,0.014839563,0.01739358,0.039148813,0.028074583,0.016159528,0.026969171,0.018643423,0.027285285,0.014259017,0.038195625,0.027252149,0.016644324,0.031674944,0.017827378,0.010446017,0.123496645,0.043116125,0.011141217,0.020420519,0.035170966,0.021293516,0.016895634,0.023506884,0.03293399,0.015002929,0.019666092,0.023736214,0.030478865,0.031795865,0.022548691,0.030935777,0.007695446,0.043966912,0.029077963,0.027103499,0.019196162,0.020385209,0.027288131,0.031197357,0.023362538,0.028134043,0.009947111,0.024420268,0.045256644,0.015537774,0.020029371,0.014157595,0.015549871,0.028101014,0.017962552,0.017046265,0.017979367,0.033904459,0.02931564,0.04335803,0.015203548,0.559266776,0.023060219,0.029020395,0.050195366,0.015233858,0.015435681,0.015450874,0.048909217,0.015923162,0.014974676,0.02332657,0.024011182,0.018254677,0.01574915,0.017146946,0.034741865,0.043373877,0.042247998,0.013052278,0.016111939,0.03296362,0.033980728,0.013936701,0.0295344,0.01180462,0.015048283,0.011467823,0.014085285,0.012415192,0.018913813,0.012815085,0.018964533,0.021139935
O14764,0.080378259,0.011576701,0.324557504,0.014066397,0.008104162,0.371270321,0.020427446,1,0.009524857,0.018998785,0.020076925,0.007992745,0.011368326,0.012528802,0.023803911,0.018092046,0.011706565,0.011134486,0.315681412,0.014888523,0.010003842,0.024463298,0.010325341,0.013304216,0.084633589,0.064246031,0.015174756,0.069745386,0.085281829,0.011109815,0.275958028,0.018152134,0.018731431,0.069152257,0.380739107,0.315112119,0.006635438,0.017005715,0.014759202,0.015370071,0.316895105,0.321808951,0.333476968,0.377553073,0.334825276,0.021533869,0.058390469,0.0709201,0.287395911,0.071524916,0.26586417,0.01006718,0.011488768,0.079612666,0.015989831,0.014349112,0.013417565,0.016398457,0.014119392,0.070582357,0.086983618,0.286942719,0.359023231,0.016272164,0.019359002,0.016374522,0.020581668,0.245355677,0.26399943,0.02029296,0.013676794,0.016876267,0.012323177,0.015983333,0.020225751,0.016239423,0.012827426,0.014386568,0.015501915,0.019585722,0.022930424,0.014670912,0.017175787,0.020225647,0.018846312,0.25991925,0.016583828,0.022157825,0.0099393,0.012271121,0.010716501,0.015994483,0.015536852,0.069302256,0.014426851,0.076359778,0.018108323,0.06105633,0.018507063,0.018859049,0.011481306,0.012371399,0.012512646,0.015236335,0.014779117,0.012876035,0.012177495,0.010083205,0.010527521,0.011775777,0.009414609,0.016980059,0.01359718,0.012406711,0.017599489,0.016490048,0.020298572,0.010884762,0.013336101,0.006632097,0.070292603,0.074752853,0.009512069,0.013513369,0.018146778,0.28391539,0.017332136,0.026264955,0.073039612,0.011108913,0.01710265,0.016776418,0.013175984,0.044486344,0.01600369,0.01521634,0.013815764,0.015879838,0.018370748,0.013191679,0.292740522,0.014170505,0.016446913,0.012387681,0.016525939,0.01869667,0.012846243,0.011164466,0.01304284,0.015383788,0.018772904,0.09180459,0.018014025,0.006698212,0.019461763,0.017522185,0.015333759,0.017335543,0.02224954,0.0150698,0.011395309,0.022702923,0.012295023,0.010266983,0.025113165,0.019938386,0.009879485,0.018545916,0.016543136,0.293392869,0.019806778,0.019924386,0.085645357,0.011944551,0.01188206,0.016793042,0.017155586,0.015936947,0.021843267,0.014110376,0.010118905,0.023973005,0.00866983,0.009690183,0.013553034,0.020657837,0.009376497,0.014036772,0.029518511,0.015788701,0.096070884,0.014179999,0.010072405,0.017891136,0.017152279,0.022020784,0.012083732,0.017281094,0.011260976,0.018112163,0.257160173,0.011073832,0.013720929,0.009812709,0.013287653,0.014510322,0.014587972,0.015277281,0.009137669,0.02437952,0.020374078
O15399,0.01293205,0.007253423,0.010836093,0.010721182,0.016457029,0.010740041,0.012636471,0.009524857,1,0.01545621,0.012647572,0.012554646,0.014125694,0.016130159,0.01162212,0.133891795,0.014755871,0.007363383,0.011667252,0.009679646,0.007064512,0.011107977,0.015944774,0.007797494,0.011425598,0.020570004,0.0159499,0.010518659,0.011584984,0.007458415,0.011530992,0.011807769,0.012422252,0.013919952,0.020581081,0.009530957,0.009270565,0.016086947,0.013221663,0.017239897,0.012118958,0.012667518,0.013477867,0.013577794,0.013361354,0.010743774,0.017936789,0.012190939,0.010539406,0.011778669,0.009402243,0.006464287,0.006999433,0.011438278,0.017955964,0.088993703,0.092499498,0.083593514,0.082379837,0.018912236,0.011167135,0.009936645,0.017625694,0.013918766,0.017458483,0.011177815,0.08520858,0.011431783,0.011229878,0.011768346,0.012825375,0.012348439,0.011191097,0.009370954,0.011479808,0.014370956,0.008060707,0.01067807,0.011379569,0.009804169,0.012112912,0.012441476,0.013446481,0.01334133,0.00945304,0.009305483,0.009966401,0.011238505,0.010005477,0.005960941,0.006469582,0.018050858,0.012062039,0.012299389,0.125781297,0.016854667,0.015588286,0.010758776,0.012524369,0.013380113,0.009957955,0.015176161,0.342033805,0.085793988,0.088967745,0.324684671,0.01391326,0.007928828,0.006249345,0.024995357,0.009652918,0.006309155,0.005211845,0.006943361,0.011434988,0.008123326,0.011900959,0.433987366,0.009440431,0.006015453,0.012013168,0.01311634,0.00592137,0.090455616,0.011902011,0.010929254,0.101846436,0.012671429,0.011572102,0.008211474,0.007994154,0.011612223,0.006944298,0.0137617,0.011354294,0.00794254,0.00989717,0.012017519,0.012773,0.0085013,0.009919688,0.009274013,0.011510148,0.009790065,0.010207489,0.010858716,0.121880158,0.010168306,0.011104357,0.011112931,0.013071839,0.01211786,0.02394022,0.004606023,0.012345732,0.019338099,0.012286861,0.012579452,0.019462714,0.012154795,0.008337998,0.009806901,0.01709216,0.006481466,0.016524347,0.013844905,0.006879225,0.012085822,0.011659633,0.011936855,0.013096358,0.013857211,0.015236258,0.011887402,0.013406876,0.020579285,0.01228746,0.011046012,0.010531536,0.009883226,0.007980986,0.01198201,0.006773413,0.008363,0.009125396,0.010182283,0.015802926,0.022882092,0.012100276,0.013442116,0.015328765,0.015765922,0.005899389,0.012436679,0.010817062,0.012801026,0.032835215,0.00881938,0.019252589,0.009571193,0.010258841,0.020789931,0.008625172,0.00736803,0.008219777,0.032943295,0.010047515,0.009527546,0.00885766,0.012251883,0.010613531
O15547,0.015524739,0.017849616,0.015232896,0.013998858,0.009011875,0.01408478,0.018016212,0.018998785,0.01545621,1,0.016019057,0.009210184,0.014319828,0.014241927,0.015319501,0.014724182,0.014469713,0.009020604,0.017493667,0.010624251,0.013696167,0.015274598,0.008488165,0.010074169,0.016990471,0.01373884,0.015808279,0.017205985,0.015664646,0.013948267,0.018895407,0.015008883,0.018959325,0.014201357,0.01635793,0.013628428,0.00688618,0.016685696,0.013085655,0.014721764,0.016179233,0.021064107,0.01580292,0.014287257,0.016704632,0.015846478,0.02135603,0.015706442,0.021325054,0.023129396,0.015651663,0.008580657,0.00961788,0.017424034,0.014508042,0.011585914,0.014940134,0.018796572,0.012661973,0.015467924,0.023368748,0.021576579,0.014939896,0.018889292,0.015828915,0.016066381,0.015888206,0.02016135,0.018842108,0.019478231,0.01478081,0.017755697,0.018136913,0.016199561,0.364709499,0.014905836,0.011687032,0.014891432,0.015412997,0.014546316,0.332137407,0.014225479,0.013753245,0.018504153,0.015481387,0.019421364,0.013017399,0.016189996,0.00975226,0.010630086,0.00965453,0.017335836,0.018748951,0.013439153,0.013571635,0.026847342,0.017767555,0.015074726,0.012571471,0.017900757,0.011138671,0.011877545,0.01042402,0.011989293,0.011278555,0.011485208,0.012103508,0.008038433,0.008434106,0.01535281,0.012117935,0.008158503,0.006843916,0.009534284,0.01794994,0.011753202,0.01641477,0.01796741,0.014555378,0.006315901,0.019052435,0.018730866,0.011741601,0.020609207,0.016816104,0.018893393,0.01886377,0.021260821,0.019345188,0.011280089,0.014665579,0.015055531,0.010553497,0.016549454,0.016942201,0.014929994,0.012766117,0.019645617,0.017799729,0.011190677,0.019597894,0.013052584,0.01049715,0.013231552,0.011127906,0.013865279,0.012471819,0.014266156,0.015432154,0.016466499,0.02088824,0.016339546,0.01810613,0.008025622,0.02561047,0.018720664,0.010767646,0.39056837,0.01720784,0.026264981,0.014144472,0.020304392,0.015910032,0.011204505,0.017662715,0.016649514,0.010293172,0.397636241,0.221180869,0.01859214,0.018231941,0.025056327,0.019858699,0.014449037,0.014046337,0.020596281,0.014628458,0.012629917,0.016362227,0.015023127,0.009799542,0.01597381,0.008306522,0.01380589,0.013689106,0.021513684,0.008261266,0.015854531,0.017967801,0.015161976,0.017396174,0.018487343,0.008095534,0.014398598,0.015790644,0.015682057,0.013190174,0.012823785,0.010510085,0.018384126,0.01650533,0.013651452,0.013173203,0.012436231,0.010693763,0.011287199,0.012222722,0.016840379,0.011383434,0.014452113,0.021359896
